四川电信,#genre#
爱玩具,http://222.209.233.47:8888/udp/239.93.42.18:5140
爱动漫,http://222.209.233.47:8888/udp/239.93.42.23:5140
求索频道,http://222.209.233.47:8888/udp/239.93.42.24:5140
爱电竞,http://222.209.233.47:8888/udp/239.93.42.19:5140
绚影4K,http://222.209.233.47:8888/udp/239.93.42.33:5140
天元围棋,http://222.209.233.47:8888/udp/239.93.42.55:5140
热血剧场,http://222.209.233.47:8888/udp/239.93.1.198:5140
乐龄学堂,http://222.209.233.47:8888/udp/239.93.1.179:5140
亲子趣学4K,http://222.209.233.47:8888/udp/239.93.1.191:5140
津津悦读4K,http://222.209.233.47:8888/udp/239.93.1.197:5140
动画番剧,http://222.209.233.47:8888/udp/239.93.1.177:5140
中录动漫4K,http://222.209.233.47:8888/udp/239.93.1.188:5140
熊猫24小时,http://222.209.233.47:8888/udp/239.93.1.178:5140
综艺咖秀,http://222.209.233.47:8888/udp/239.93.1.175:5140
红色经典,http://222.209.233.47:8888/udp/239.93.1.176:5140
4K超高清电影,http://222.209.233.47:8888/udp/239.93.1.156:5140
4K乐享超清,http://222.209.233.47:8888/udp/239.93.0.43:5140
i成都,http://222.209.233.47:8888/udp/239.93.1.104:1234
直播室2,http://222.209.233.47:8888/udp/239.93.1.181:5140
直播室3,http://222.209.233.47:8888/udp/239.93.1.182:5140
直播室4,http://222.209.233.47:8888/udp/239.93.1.183:5140
直播室5,http://222.209.233.47:8888/udp/239.93.1.184:5140
直播室6,http://222.209.233.47:8888/udp/239.93.1.185:5140
直播室7,http://222.209.233.47:8888/udp/239.93.1.186:5140
直播室8,http://222.209.233.47:8888/udp/239.93.1.187:5140
红原日干乔,http://222.209.233.47:8888/udp/239.93.0.178:5140
红原月亮湾,http://222.209.233.47:8888/udp/239.93.0.209:5140
雅克音乐节直播,http://222.209.233.47:8888/udp/239.93.42.69:5140
云演艺宣传,http://222.209.233.47:8888/udp/239.93.42.60:5140
创新及人才文化节,http://222.209.233.47:8888/udp/239.93.42.59:5140

凤凰中文,http://182.151.184.250:8888/udp/239.93.0.162:2192
凤凰资讯,http://182.151.184.250:8888/udp/239.93.0.118:2191
星空卫视,http://182.151.184.250:8888/udp/239.93.0.156:2193
CHANNEL-V,http://182.151.184.250:8888/udp/239.93.0.157:2194
四川卫视,http://182.151.184.250:8888/udp/239.93.0.169:5140
