宁夏电信,#genre#
炫动卡通,http://111.113.73.202:8888/udp/239.121.4.51:8280
动漫秀场,http://111.113.73.202:8888/udp/239.121.4.74:8418
金鹰纪实高清,http://111.113.73.202:8888/udp/239.121.4.167:8986
游戏风云,http://111.113.73.202:8888/udp/239.121.4.75:8424
家庭影院,http://111.113.73.202:8888/udp/239.121.4.80:8454
光影,http://111.113.73.202:8888/udp/239.121.4.84:8478
星影,http://111.113.73.202:8888/udp/239.121.4.168:8992
精选,http://111.113.73.202:8888/udp/239.121.4.169:9190
IPTV谍战剧场,http://111.113.73.202:8888/udp/239.121.4.170:9004
热播剧场,http://111.113.73.202:8888/udp/239.121.4.171:9010
经典电影,http://111.113.73.202:8888/udp/239.121.4.172:9016
城市剧场,http://111.113.73.202:8888/udp/239.121.4.173:9022
军旅剧场,http://111.113.73.202:8888/udp/239.121.4.174:9028
古装剧场,http://111.113.73.202:8888/udp/239.121.4.175:9034
喜剧影院,http://111.113.73.202:8888/udp/239.121.4.176:9040
动作影院,http://111.113.73.202:8888/udp/239.121.4.177:9046;
武侠剧场,http://111.113.73.202:8888/udp/239.121.4.179:9058
中国教育1高清,http://111.113.73.202:8888/udp/239.121.4.180:9064
都市剧场,http://111.113.73.202:8888/udp/239.121.4.62:8346
欢笑剧场,http://111.113.73.202:8888/udp/239.121.4.64:8358
财富天下,http://111.113.73.202:8888/udp/239.121.4.181:9070
东方财经,http://111.113.73.202:8888/udp/239.121.4.71:8400
股评汇,http://111.113.73.202:8888/udp/239.121.4.98:8562
IPTV野外,http://111.113.73.202:8888/udp/239.121.4.182:9076
解密,http://111.113.73.202:8888/udp/239.121.4.183:9082
地理,http://111.113.73.202:8888/udp/239.121.4.82:8466
国学,http://111.113.73.202:8888/udp/239.121.4.81:8460
墨宝,http://111.113.73.202:8888/udp/239.121.4.86:8490
鉴赏,http://111.113.73.202:8888/udp/239.121.4.184:9088
全纪实,http://111.113.73.202:8888/udp/239.121.4.69:8388
Knews24,http://111.113.73.202:8888/udp/239.121.4.134:8786
IPTV法治,http://111.113.73.202:8888/udp/239.121.4.185:9094
法治天地,http://111.113.73.202:8888/udp/239.121.4.70:8394
音乐现场,http://111.113.73.202:8888/udp/239.121.4.178:9052
