河南电信,#genre#
淇县电视台,http://123.160.202.41:2000/udp/239.16.20.205:12050
宜阳综合,http://123.160.202.41:2000/udp/239.16.20.206:12060
汝阳综合,http://123.160.202.41:2000/udp/239.16.20.207:12070
原阳电视台,http://123.160.202.41:2000/udp/239.16.20.208:12080
宝丰-1,http://123.160.202.41:2000/udp/239.16.20.209:12090
延津电视台,http://123.160.202.41:2000/udp/239.16.20.210:12100
江西陶瓷,http://123.160.202.41:2000/udp/239.16.20.214:12140
体育赛事,http://123.160.202.41:2000/udp/239.16.20.215:12150
大象新闻,http://123.160.202.41:2000/udp/239.16.20.216:12160
大剧院,http://123.160.202.41:2000/udp/239.16.20.217:12170
百视通4K测试,http://123.160.202.41:2000/udp/239.16.20.223:12230
百视通4K测试,http://123.160.202.41:2000/udp/239.16.20.225:12250
舞钢电视台-1,http://123.160.202.41:2000/udp/239.16.20.227:12270
内黄综合,http://123.160.202.41:2000/udp/239.16.20.228:12280
国学频道,http://123.160.202.41:2000/udp/239.16.20.232:12320
嵩县综合新闻,http://123.160.202.41:2000/udp/239.16.20.234:12340
郏县综合,http://123.160.202.41:2000/udp/239.16.20.235:12350
义马电视台,http://123.160.202.41:2000/udp/239.16.20.236:12360
南乐综合,http://123.160.202.41:2000/udp/239.16.20.237:12370
4K测试,http://123.160.202.41:2000/udp/239.16.20.238:12380
健康中原,http://123.160.202.41:2000/udp/239.16.20.239:12390
卢氏综合,http://123.160.202.41:2000/udp/239.16.20.240:12400
平煤综合,http://123.160.202.41:2000/udp/239.16.20.241:12410
国学频道,http://123.160.202.41:2000/udp/239.16.20.242:12420
大美河南,http://123.160.202.41:2000/udp/239.16.20.243:12430
平煤安全环保,http://123.160.202.41:2000/udp/239.16.20.244:12440
百视通4K测试,http://123.160.202.41:2000/udp/239.16.20.249:12490
新密综合,http://123.160.202.41:2000/udp/239.16.10.31:2000
登封综合,http://123.160.202.41:2000/udp/239.16.10.32:2000
巩义综合,http://123.160.202.41:2000/udp/239.16.10.33:2000
荥阳综合,http://123.160.202.41:2000/udp/239.16.10.34:2000
新郑TV-1,http://123.160.202.41:2000/udp/239.16.10.35:2000
淅川电视台-1,http://123.160.202.41:2000/udp/239.16.10.38:2000
禹州电视台,http://123.160.202.41:2000/udp/239.16.10.39:2000
西平电视台-1,http://123.160.202.41:2000/udp/239.16.10.41:2000
海南卫视,http://123.160.202.41:2000/udp/239.16.10.43:2000
优漫卡通,http://123.160.202.41:2000/udp/239.16.10.44:2000
新蔡TV,http://123.160.202.41:2000/udp/239.16.10.45:2000
镇平新闻综合,http://123.160.202.41:2000/udp/239.16.10.46:2000
许昌综合,http://123.160.202.41:2000/udp/239.16.10.47:2000
漯河新闻综合,http://123.160.202.41:2000/udp/239.16.10.49:2000
信阳新闻综合,http://123.160.202.41:2000/udp/239.16.10.52:2000
驻马店2公共,http://123.160.202.41:2000/udp/239.16.10.54:2000
开封1新闻综合,http://123.160.202.41:2000/udp/239.16.10.57:2000
南阳1新闻综合,http://123.160.202.41:2000/udp/239.16.10.58:2000
周口新闻综合,http://123.160.202.41:2000/udp/239.16.10.59:2000
许昌农业科教,http://123.160.202.41:2000/udp/239.16.10.60:2000
许昌公共,http://123.160.202.41:2000/udp/239.16.10.61:2000
信阳文旅,http://123.160.202.41:2000/udp/239.16.10.71:2000
浉河广电中心,http://123.160.202.41:2000/udp/239.16.10.72:2000
平桥广电中心,http://123.160.202.41:2000/udp/239.16.10.73:2000
杞县新闻综合,http://123.160.202.41:2000/udp/239.16.10.80:2000
郸城,http://123.160.202.41:2000/udp/239.16.10.84:2000
永城新闻联播,http://123.160.202.41:2000/udp/239.16.10.93:2000
光山综合,http://123.160.202.41:2000/udp/239.16.10.94:2000
唐河TV-1,http://123.160.202.41:2000/udp/239.16.10.95:2000
上蔡-1,http://123.160.202.41:2000/udp/239.16.10.97:2000
商丘1新闻综合,http://123.160.202.41:2000/udp/239.16.10.153:2000
南阳3科教,http://123.160.202.41:2000/udp/239.16.10.164:2000
南阳2公共,http://123.160.202.41:2000/udp/239.16.10.165:2000
新县综合,http://123.160.202.41:2000/udp/239.16.10.166:2000
商丘2公共,http://123.160.202.41:2000/udp/239.16.10.168:2000
商丘3文体科教,http://123.160.202.41:2000/udp/239.16.10.169:2000
驻马店1新闻综合,http://123.160.202.41:2000/udp/239.16.10.170:2000
驻马店3科教,http://123.160.202.41:2000/udp/239.16.10.171:2000
周口公共,http://123.160.202.41:2000/udp/239.16.10.172:2000
周口教育,http://123.160.202.41:2000/udp/239.16.10.173:2000
开封2文化旅游,http://123.160.202.41:2000/udp/239.16.10.177:2000
舞阳新闻综合,http://123.160.202.41:2000/udp/239.16.10.179:2000
临颍综合,http://123.160.202.41:2000/udp/239.16.10.180:2000
美食汇,http://123.160.202.41:2000/udp/239.16.10.185:2000
棋牌汇,http://123.160.202.41:2000/udp/239.16.10.186:2000
未知,http://123.160.202.41:2000/udp/239.16.10.191:2000
未知,http://123.160.202.41:2000/udp/239.16.10.193:2000
项城电视台,http://123.160.202.41:2000/udp/239.16.10.214:2000


