黑龙江联通,#genre#
中視新聞,http://59.126.25.222:8011/udp/224.1.4.252:11111
中視經典台,http://59.126.25.222:8011/udp/224.1.4.219:11111
中視菁采台,http://59.126.25.222:8011/udp/230.1.2.224:11111
亞洲旅遊,http://59.126.25.222:8011/udp/230.1.2.175:11111
亞洲綜合,http://59.126.25.222:8011/udp/224.1.4.209:11111
亞洲美食頻道,http://59.126.25.222:8011/udp/230.1.2.233:11111
人間衛視,http://59.126.25.222:8011/udp/230.1.2.193:11111
佛衛慈悲台,http://59.126.25.222:8011/udp/224.1.4.178:11111
信吉藜文台,http://59.126.25.222:8011/udp/230.1.2.247:11111
信吉電視台,http://59.126.25.222:8011/udp/230.1.2.182:11111
八大優频道,http://59.126.25.222:8011/udp/230.1.2.239:11111
公視,http://59.126.25.222:8011/udp/230.1.2.230:11111
公視2台,udp/230.1.2.185:11111
公視3台,http://59.126.25.222:8011/udp/230.1.2.62:11111
公視台語台,http://59.126.25.222:8011/udp/230.1.2.185:11111
冠軍電視台,http://59.126.25.222:8011/udp/224.1.4.224:11111
半島英語新聞台,http://59.126.25.222:8011/udp/230.1.2.128:11111
博斯無限,http://59.126.25.222:8011/udp/230.1.2.215:11111
博斯無限二台,http://59.126.25.222:8011/udp/224.1.4.207:11111
博斯網球,http://59.126.25.222:8011/udp/230.1.2.198:11111
博斯運動一台,http://59.126.25.222:8011/udp/230.1.2.158:11111
博斯運動二台,http://59.126.25.222:8011/udp/230.1.2.196:11111
博斯高球一台,http://59.126.25.222:8011/udp/230.1.2.183:11111
博斯高球二台,http://59.126.25.222:8011/udp/230.1.2.197:11111
博斯魅力,http://59.126.25.222:8011/udp/224.1.4.250:11111
原住民族電視,http://59.126.25.222:8011/udp/230.1.2.235:11111
古典音樂台 CLASSIC HD,http://59.126.25.222:8011/udp/230.1.2.139:11111
台灣戲劇,http://59.126.25.222:8011/udp/230.1.2.154:11111
台視,http://59.126.25.222:8011/udp/230.1.2.227:11111
台視新聞台,http://59.126.25.222:8011/udp/224.1.4.215:11111
台視綜合台,http://59.126.25.222:8011/udp/224.1.4.170:11111
台視財經台,http://59.126.25.222:8011/udp/224.1.4.248:11111
唯心电視台,http://59.126.25.222:8011/udp/224.1.4.200:11111
國會頻道1,http://59.126.25.222:8011/udp/230.1.2.41:11111
國會頻道2,http://59.126.25.222:8011/udp/230.1.2.42:11111
壹電視新聞,http://59.126.25.222:8011/udp/230.1.2.188:11111
壹電視綜合台,http://59.126.25.222:8011/udp/230.1.2.220:11111
壹電視電影台,http://59.126.25.222:8011/udp/230.1.2.189:11111
大愛電視,http://59.126.25.222:8011/udp/230.1.2.190:11111
大爱二台,http://59.126.25.222:8011/udp/230.1.2.199:11111
大立電視台 ,http://59.126.25.222:8011/udp/224.1.4.142:11111
天天電視,http://59.126.25.222:8011/udp/230.1.2.245:11111
好消息1,http://59.126.25.222:8011/udp/230.1.2.165:11111
好消息2,http://59.126.25.222:8011/udp/230.1.2.151:11111
客家電視,http://59.126.25.222:8011/udp/224.1.4.201:11111
富立電視台 ,http://59.126.25.222:8011/udp/224.1.4.138:11111
寰宇HD綜合,http://59.126.25.222:8011/udp/230.1.2.148:11111
寰宇新聞,http://59.126.25.222:8011/udp/230.1.2.252:11111
寰宇新聞台灣台,http://59.126.25.222:8011/udp/230.1.2.147:11111
寰宇財經,http://59.126.25.222:8011/udp/230.1.2.249:11111
幸福空間居家台,http://59.126.25.222:8011/udp/230.1.2.141:11111
影迷數位紀實,http://59.126.25.222:8011/udp/224.1.4.226:11111
影迷數位電影,http://59.126.25.222:8011/udp/224.1.4.225:11111
德國之聲,http://59.126.25.222:8011/udp/224.1.4.147:11111
愛爾達影劇台 ,http://59.126.25.222:8011/udp/230.1.2.132:11111
愛爾達綜合台,http://59.126.25.222:8011/udp/230.1.2.133:11111
愛爾達體育1台,http://59.126.25.222:8011/udp/230.1.2.131:11111
愛爾達體育2台,http://59.126.25.222:8011/udp/230.1.2.237:11111
愛爾達體育3台,http://59.126.25.222:8011/udp/224.1.4.193:11111
愛爾達體育4台,http://59.126.25.222:8011/udp/230.1.2.146:11111
新唐人,http://59.126.25.222:8011/udp/224.1.4.165:11111
新天地民俗台 ,http://59.126.25.222:8011/udp/224.1.4.134:11111
智林體育,http://59.126.25.222:8011/udp/224.1.4.238:11111
历史頻道,http://59.126.25.222:8011/udp/230.1.2.216:11111
曼迪日本台 ,http://59.126.25.222:8011/udp/230.1.2.242:11111
東森購物1台,http://59.126.25.222:8011/udp/224.1.4.168:11111
東森購物2台,http://59.126.25.222:8011/udp/224.1.4.169:11111
東森購物3台,http://59.126.25.222:8011/udp/230.1.2.171:11111
東森購物4台,http://59.126.25.222:8011/udp/224.1.4.176:11111
東森購物5台,http://59.126.25.222:8011/udp/230.1.2.33:11111
正德電視台,http://59.126.25.222:8011/udp/224.1.4.195:11111
民視,http://59.126.25.222:8011/udp/230.1.2.226:11111
民視台灣台,http://59.126.25.222:8011/udp/224.1.4.227:11111
民視新聞台,http://59.126.25.222:8011/udp/230.1.2.155:11111
民視第一台,http://59.126.25.222:8011/udp/224.1.4.218:11111
滾動力 rollor美學、創作、設計,http://59.126.25.222:8011/udp/224.1.4.236:11111
生命電視,http://59.126.25.222:8011/udp/230.1.2.187:11111
視納華仁紀實台紀錄片,http://59.126.25.222:8011/udp/224.1.4.205:11111
緯來精采台,http://59.126.25.222:8011/udp/224.1.4.222:11111
罪案偵察頻道,http://59.126.25.222:8011/udp/230.1.2.238:11111
美亞電影,http://59.126.25.222:8011/udp/230.1.2.143:11111
美好1台,http://59.126.25.222:8011/udp/224.1.4.167:11111
