艺华台湾台,udp://224.1.4.185:11111
LVN+,udp://224.1.4.189:11111
世界羽球杂志,udp://224.1.4.191:11111
ELTA综合,udp://224.1.4.192:11111
ELTA体育-3,udp://224.1.4.193:11111
正德,udp://224.1.4.195:11111
未知-10,udp://224.1.4.197:11111
靖天综合台,udp://224.1.4.199:11111
未知-11,udp://224.1.4.196:11111
HOKKATV,udp://224.1.4.201:11111
唯心,udp://224.1.4.200:11111
惊艳台,udp://224.1.4.204:11111
香蕉台,udp://224.1.4.205:11111
CNEX,udp://224.1.4.206:11111
博斯无限_2,udp://224.1.4.207:11111
st/le,udp://224.1.4.208:11111
asis亚洲综合台,udp://224.1.4.209:11111
food,udp://224.1.4.211:11111
ETtodoy综合台,udp://224.1.4.212:11111
cbecbies,udp://224.1.4.213:11111
台视新闻台,udp://224.1.4.215:11111
ELTV生活英语台,udp://224.1.4.216:11111
momo-2,udp://224.1.4.217:11111
民视第一台,udp://224.1.4.218:11111
中视经典台,udp://224.1.4.219:11111
靖天国际台,udp://224.1.4.220:11111
采昌,udp://224.1.4.221:11111
纬来精彩,udp://224.1.4.222:11111
华视教育体育文化,udp://224.1.4.223:11111
冠军,udp://224.1.4.224:11111
影迷数位电影台,udp://224.1.4.225:11111
华视台湾台,udp://224.1.4.227:11111
影迷纪实台,udp://224.1.4.226:11111
公视-3,udp://224.1.4.228:11111
momo-1,udp://224.1.4.229:11111
Lifetime,udp://224.1.4.230:11111
WBtv,udp://224.1.4.234:11111
Da Vinci,udp://224.1.4.233:11111
韩国娱乐台,udp://224.1.4.232:11111
CNN,udp://224.1.4.235:11111
滚动乐园,udp://224.1.4.236:11111
ANIMAX,udp://224.1.4.237:11111
智林体育台,udp://224.1.4.238:11111
mezz live,udp://224.1.4.240:11111
TRACE URBAN,udp://224.1.4.241:11111
TRACE,udp://224.1.4.242:11111
台视财经,udp://224.1.4.248:11111
nickelodeon,udp://224.1.4.249:11111
博斯魅力,udp://224.1.4.250:11111
龙华电影,udp://224.1.4.251:11111
中视新闻,udp://224.1.4.252:11111
松视-3,udp://224.1.4.253:11111
博斯运动-2,udp://224.1.5.5:11111
少儿,udp://224.1.5.9:11111
ELTA,udp://224.1.5.11:11111
ROCK,udp://224.1.5.14:11111
BOOM,udp://224.1.5.15:11111
星衛电影台,udp://224.1.5.18:11111
美食星球,udp://224.1.5.19:11111
BKDS,udp://224.1.5.20:11111
IOI,udp://224.1.5.21:11111
SMART,udp://224.1.5.22:11111
靖洋卡通台,udp://224.1.5.23:11111
mcdici-arts,udp://224.1.5.26:11111
靖天卡通台,udp://224.1.5.25:11111
starWorld,udp://224.1.5.27:11111
靖天育乐台,udp://224.1.5.28:11111
MOD多视角,udp://224.1.5.35:11111
asia亚洲旅游台,udp://224.1.5.34:11111
龙华电影,udp://224.1.5.36:11111
靖天映画,udp://224.1.5.38:11111
龙华偶像,udp://224.1.5.39:11111
龙华戏剧,udp://224.1.5.41:11111
靖天电影台,udp://224.1.5.42:11111
amc最爱电影台,udp://224.1.5.43:11111
龙华洋片,udp://224.1.5.37:11111
niokelodeon,udp://224.1.5.45:11111
博斯无限,udp://224.1.5.46:11111
博斯高球-2,udp://224.1.5.47:11111
博斯运动-1,udp://224.1.5.48:11111
博斯高球-1,udp://224.1.5.49:11111
BBC,udp://224.1.5.52:11111
寰宇新闻台,udp://224.1.5.51:11111
寰宇财经台,udp://224.1.5.56:11111
food,udp://224.1.5.57:11111
EYETV戏剧,udp://224.1.5.60:11111
EYETV旅游,udp://224.1.5.61:11111
台湾戏剧台,udp://224.1.5.62:11111
彩虹,udp://224.1.5.63:11111
彩虹电影,udp://224.1.5.64:11111
K频道,udp://224.1.5.65:11111
博斯网球,udp://224.1.5.66:11111
未知-12,udp://224.1.5.67:11111
松视-1,udp://224.1.5.68:11111
未知-13,udp://224.1.5.71:11111
松视-3,udp://224.1.5.70:11111
大立,udp://224.1.5.73:11111
HAPPY,udp://224.1.5.72:11111
CBEEBIES,udp://224.1.5.75:11111
松视-2,udp://224.1.5.69:11111
亚洲综合台,udp://224.1.5.78:11111
HGTV,udp://224.1.5.80:11111
CRIME,udp://224.1.5.85:11111
多视角,udp://224.1.5.88:11111
寰宇综合,udp://224.1.5.87:11111
美亚电影台,udp://224.1.5.91:11111
民视新闻台,udp://224.1.5.97:11111
美好-2,udp://224.1.5.98:11111
ROCK,udp://224.1.5.99:11111
NBA动能,udp://224.1.5.100:11111
靖天日本台,udp://224.1.5.103:11111
靖天综合台,udp://224.1.5.104:11111
靖天欢乐台,udp://224.1.5.105:11111
寰宇新闻台湾台,udp://224.1.5.101:11111
靖洋戏剧台,udp://224.1.5.107:11111
style,udp://224.1.5.108:11111
龙华动画,udp://224.1.5.109:11111
博斯魅力,udp://224.1.5.110:11111
ELTA体育-1,udp://224.1.5.112:11111
ELTA戏剧,udp://224.1.5.113:11111
ELTA综合,udp://224.1.5.114:11111
LVN+,udp://224.1.5.115:11111
世界羽球杂志,udp://224.1.5.117:11111
未知-14,udp://224.1.5.119:11111
多视角,udp://224.1.5.120:11111
动画,udp://224.1.5.121:11111
未知-15,udp://224.1.5.118:11111
多视角,udp://224.1.5.122:11111
pet club,udp://224.1.5.124:11111
国家地理wild,udp://224.1.5.125:11111
mod,udp://224.1.5.126:11111
国家地理,udp://224.1.5.128:11111
居家,udp://224.1.5.123:11111
艺华综合台,udp://224.1.5.130:11111
ROCK,udp://224.1.5.131:11111
TITS,udp://224.1.5.136:11111
花屏,udp://224.1.5.138:11111
LIVE UROSPORT,udp://224.1.5.135:11111
CNBC,udp://224.1.5.140:11111
彩虹,udp://224.1.5.141:11111
ELTA体育,udp://224.1.5.143:11111
多画面,udp://224.1.5.144:11111
未知-16,udp://224.1.5.145:11111
多视角,udp://224.1.5.147:11111
松视-2,udp://224.1.5.149:11111
花屏-1,udp://224.1.5.151:11111
ROCK,udp://224.1.5.146:11111
LVN+,udp://224.1.5.156:11111
非凡新闻,udp://224.1.5.158:11111
未知-16,udp://224.1.5.159:11111
BOOM,udp://224.1.5.161:11111
多视角,udp://224.1.5.160:11111
彩虹电影,udp://224.1.5.164:11111
多视角,udp://224.1.5.166:11111
多视角,udp://224.1.5.168:11111
SMART,udp://224.1.5.171:11111
K频道,udp://224.1.5.175:11111
未知-16,udp://224.1.5.177:11111
ELTA,udp://224.1.5.181:11111
龙华动画,udp://224.1.5.180:11111
182,udp://224.1.5.182:11111
HGTV,udp://224.1.5.183:11111
MOD,udp://224.1.5.184:11111
185,udp://224.1.5.185:11111
LVN+,udp://224.1.5.189:11111
191,udp://224.1.5.191:11111
ELTA体育-3,udp://224.1.5.193:11111
靖天综合台,udp://224.1.5.199:11111
惊艳台,udp://224.1.5.204:11111
惊艳台,udp://224.1.5.205:11111
cnex,udp://224.1.5.206:11111
asia亚洲综合台,udp://224.1.5.209:11111
food,udp://224.1.5.211:11111
ETtod综合台,udp://224.1.5.212:11111
cbeebies,udp://224.1.5.213:11111
style,udp://224.1.5.208:11111
台视新闻台,udp://224.1.5.207:11111
台视新闻台,udp://224.1.5.215:11111
冠军,udp://224.1.5.224:11111
Lifetime,udp://224.1.5.230:11111
WBtv,udp://224.1.5.234:11111
235,udp://224.1.5.235:11111
韩国娱乐台,udp://224.1.5.232:11111
236,udp://224.1.5.236:11111
mezz,udp://224.1.5.240:11111
CLASSIC,udp://224.1.5.241:11111
TRACE,udp://224.1.5.242:11111
博斯魅力,udp://224.1.5.250:11111
